Close,Volume,MA_7,BollingerB1_7,BollingerB2_7,SOk,SOd_7,MACD_15_26,MACDSign_15_26,MACDDiff_15_26,pred
347.420013,120980000,346.0371441428571,0.04026306235179515,0.5992547896886726,0.9602937051374397,0.7075029721228651,0.5504937750439467,0.9420187264397455,-0.3915249513957988,346.809998
346.809998,77610000,345.44857342857136,0.03241662999269011,0.621574451013369,0.20895510135849538,0.5828660044317726,0.5241411140223704,0.8584432039562706,-0.3343020899339002,348.809998
348.809998,133740000,345.25857099999996,0.028403190439610496,0.8621523417135571,0.8658019902190313,0.6536000008785873,0.5997892718611979,0.8067124175372562,-0.2069231456760583,350.670013
350.670013,128030000,346.2557154285714,0.035268967972738284,0.8614697040353844,0.9948020373096838,0.7389005099863614,0.7502476703707543,0.7954194681039559,-0.04517179773320157,353.399994
353.399994,145940000,347.81857299999996,0.040784321810786596,0.89345835160145,0.9963467033285794,0.8032620583219159,1.004226908326416,0.837180956148448,0.16704595217796792,359.690002
359.690002,162070000,350.2257167142856,0.057304667769281815,0.9715739334852689,1.0,0.8524465437414369,1.5210232084448307,0.9739494066077246,0.5470738018371062,358.76001
358.76001,192330000,352.2228611428571,0.05978849174559042,0.810422531291373,0.32222263786301597,0.7198905672718315,1.8782796626293248,1.1548154578120446,0.7234642048172801,355.670013
355.670013,177000000,353.4014325714285,0.05571755712085708,0.6152109634437563,0.4735946112390163,0.6583165782636277,1.9929711124303822,1.3224465887357122,0.67052452369467,352.200012
352.200012,158530000,354.17143457142845,0.045932325973622005,0.3788153101280965,0.19676032932354331,0.5429275160286066,1.8907259758114492,1.4361024661508597,0.4546235096605895,353.790009
353.790009,140110000,354.8828647142855,0.03769284573662522,0.41830059942836,0.8783828889932186,0.6267913592697595,1.871353828311726,1.523152738583033,0.3482010897286929,349.619995
349.619995,155210000,354.73286214285696,0.04036663549039752,0.14294054991062366,0.0021951619595367675,0.4706423099422038,1.6259696270660697,1.5437161162796404,0.08225351078642928,347.309998
347.309998,175990000,353.8628627142856,0.05157722349676346,0.1409637858740289,0.5641505226049585,0.4940193631078925,1.2944689721026066,1.493866687444234,-0.1993977153416273,348.52999900000003
348.52999900000003,154390000,352.26857657142847,0.04672755912034141,0.2728778994865402,0.431093170111708,0.4782878148588464,1.0760359093117131,1.41030053181773,-0.33426462250601685,339.929993
339.929993,183880000,349.57857414285706,0.05928280257978106,0.03442471233259051,0.04867284977261022,0.37088407358728737,0.45113811390882574,1.2184680482359491,-0.7673299343271234,337.0
